"Dataset_ID"	"Continent"	"Sample_ID"	"Age_BP"	"Distance_weighting"	"Basin_type"	"Basin_Area"	"Basin_Diameter"	"RPP_Set"	"Basin_Source"	"Pollen_Source_Radius"	"Pollen_Source_Area"	"Median_rel_influx_at_PSR"	"Std_rel_influx_at_PSR"	"Alnus.mean"	"Amaranthaceae.mean"	"Apiaceae.mean"	"Artemisia.mean"	"Asteraceae.mean"	"Betula.mean"	"Brassicaceae.mean"	"Caryophyllaceae.mean"	"Corylus.mean"	"Cyperaceae.mean"	"Elaeagnaceae.mean"	"Ericales.mean"	"Juniperus.mean"	"Ostrya.Carpinus.mean"	"Picea.mean"	"Pinus.mean"	"Poaceae.mean"	"Quercus.mean"	"Ranunculaceae.mean"	"Rosaceae.mean"	"Rubiaceae.mean"	"Rumex.mean"	"Salix.mean"	"Thalictrum.mean"	"Tilia.mean"	"Ulmus.mean"	"Alnus.median"	"Amaranthaceae.median"	"Apiaceae.median"	"Artemisia.median"	"Asteraceae.median"	"Betula.median"	"Brassicaceae.median"	"Caryophyllaceae.median"	"Corylus.median"	"Cyperaceae.median"	"Elaeagnaceae.median"	"Ericales.median"	"Juniperus.median"	"Ostrya.Carpinus.median"	"Picea.median"	"Pinus.median"	"Poaceae.median"	"Quercus.median"	"Ranunculaceae.median"	"Rosaceae.median"	"Rubiaceae.median"	"Rumex.median"	"Salix.median"	"Thalictrum.median"	"Tilia.median"	"Ulmus.median"	"Alnus.q90"	"Amaranthaceae.q90"	"Apiaceae.q90"	"Artemisia.q90"	"Asteraceae.q90"	"Betula.q90"	"Brassicaceae.q90"	"Caryophyllaceae.q90"	"Corylus.q90"	"Cyperaceae.q90"	"Elaeagnaceae.q90"	"Ericales.q90"	"Juniperus.q90"	"Ostrya.Carpinus.q90"	"Picea.q90"	"Pinus.q90"	"Poaceae.q90"	"Quercus.q90"	"Ranunculaceae.q90"	"Rosaceae.q90"	"Rubiaceae.q90"	"Rumex.q90"	"Salix.q90"	"Thalictrum.q90"	"Tilia.q90"	"Ulmus.q90"	"Alnus.q10"	"Amaranthaceae.q10"	"Apiaceae.q10"	"Artemisia.q10"	"Asteraceae.q10"	"Betula.q10"	"Brassicaceae.q10"	"Caryophyllaceae.q10"	"Corylus.q10"	"Cyperaceae.q10"	"Elaeagnaceae.q10"	"Ericales.q10"	"Juniperus.q10"	"Ostrya.Carpinus.q10"	"Picea.q10"	"Pinus.q10"	"Poaceae.q10"	"Quercus.q10"	"Ranunculaceae.q10"	"Rosaceae.q10"	"Rubiaceae.q10"	"Rumex.q10"	"Salix.q10"	"Thalictrum.q10"	"Tilia.q10"	"Ulmus.q10"	"Alnus.sd"	"Amaranthaceae.sd"	"Apiaceae.sd"	"Artemisia.sd"	"Asteraceae.sd"	"Betula.sd"	"Brassicaceae.sd"	"Caryophyllaceae.sd"	"Corylus.sd"	"Cyperaceae.sd"	"Elaeagnaceae.sd"	"Ericales.sd"	"Juniperus.sd"	"Ostrya.Carpinus.sd"	"Picea.sd"	"Pinus.sd"	"Poaceae.sd"	"Quercus.sd"	"Ranunculaceae.sd"	"Rosaceae.sd"	"Rubiaceae.sd"	"Rumex.sd"	"Salix.sd"	"Thalictrum.sd"	"Tilia.sd"	"Ulmus.sd"
4257	"Europe"	"15"	4305	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.173717	0.03034	0	0.162277	2.585759	31.606819	0	0	0	21.473664	0	20.252409	0.349263	0	0	16.370879	3.5068065	0	0	2.488061	0	0	0	0	0	0	1.158	0.028	0	0.1165	2.5095	31.407	0	0	0	21.415	0	20.296	0.328	0	0	16.262	3.419	0	0	2.37	0	0	0	0	0	0	1.5622	0.07	0	0.38	5.9119	35.9562	0	0	0	26.8201	0	25.9842	0.572	0	0	19.0173	5.3654	0	0	4.094	0	0	0	0	0	0	0.819	0	0	0	0	27.5736	0	0	0	16.2099	0	14.4865	0.144	0	0	13.9973	1.783	0	0	1.0349	0	0	0	0	0	0	0.285333212984777	0.0297850461555332	0	0.238207793212929	2.54849014888001	3.33928661450105	0	0	0	4.11892590773623	0	4.40661876274532	0.174655624371396	0	0	1.96198124827132	1.39743094415416	0	0	1.25312745819898	0	0	0	0	0	0
4257	"Europe"	"16"	4716	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.3119055	0	0	0.183077	0	23.484291	0	0	0	18.379901	0	34.8158005	0.3700405	0	0.604931	18.1940455	0.6444005	0.225565	0	0	0	0	1.504427	0	0	0.281626	1.297	0	0	0.124	0	23.2935	0	0	0	18.31	0	34.832	0.347	0	0.581	18.035	0.614	0.212	0	0	0	0	1.3895	0	0	0.246	1.7361	0	0	0.4171	0	27.3793	0	0	0	23.6003	0	41.3265	0.6151	0	1.4101	21.1531	1.4031	0.493	0	0	0	0	3.6075	0	0	0.6881	0.9009	0	0	0	0	19.7717	0	0	0	13.0889	0	28.3967	0.159	0	0	15.5577	0	0	0	0	0	0	0	0	0	0	0.323564822975372	0	0	0.374777698419498	0	2.95005204019165	0	0	0	4.09794107323652	0	4.98113533025242	0.184001609112062	0	0.611663916388981	2.19762004913723	0.647905116988638	0.224193169083119	0	0	0	0	1.58096057757457	0	0	0.305877847764228
4257	"Europe"	"17"	5124	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.3700215	0	0	0.152	2.5278385	27.31035	0	0	0.5385245	24.6738695	0	21.24642	0.7077515	0.624522	0.549362	14.1398015	1.814013	0.2045735	0	1.2129925	0	0	1.410379	0	1.2464155	0.2711715	1.349	0	0	0.111	2.485	26.9995	0	0	0.492	24.6485	0	21.265	0.677	0.519	0.538	14.061	1.7465	0.198	0	1.1495	0	0	1.3195	0	1.1755	0.234	1.7734	0	0	0.376	5.7558	31.4395	0	0	1.1621	30.2073	0	26.8247	1.049	1.4722	1.2832	16.3785	3.2	0.4511	0	2.3771	0	0	3.3303	0	2.4413	0.6662	0.9888	0	0	0	0	23.5609	0	0	0	19.1689	0	15.5098	0.4039	0	0	11.9038	0.5808	0	0	0	0	0	0	0	0	0	0.312075347550915	0	0	0.21585119149181	2.56027934522398	3.15881541862206	0	0	0.525293248479551	4.37890217938447	0	4.41220656905408	0.26746523245655	0.706008340180342	0.56516429849925	1.7485667250333	1.02966159602666	0.207129510004507	0	0.871040921304529	0	0	1.4027824759015	0	0.884715597072642	0.296502821317563
4257	"Europe"	"18"	5552	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	2.065278	0.025176	0	0.136868	4.3022205	32.615025	0	0	0	29.1665765	0	5.229407	0.8730005	0	0	17.256675	3.4123335	0	0	3.5363415	0	0	1.152361	0	0	0.228739	2.047	0.024	0	0.0925	4.1475	32.4785	0	0	0	29.1355	0	5.0745	0.8445	0	0	17.176	3.3555	0	0	3.3895	0	0	1.0845	0	0	0.199	2.5481	0.058	0	0.303	8.3285	36.9879	0	0	0	34.4796	0	8.2381	1.2261	0	0	19.6961	5.0893	0	0	5.451	0	0	2.7003	0	0	0.552	1.6067	0	0	0	0	28.4197	0	0	0	23.9627	0	2.2349	0.5429	0	0	14.9303	1.87	0	0	1.8684	0	0	0	0	0	0	0.364417449849589	0.0252517098118961	0	0.284866770814985	3.01043168920297	3.33002441532766	0	0	0	4.09838503328912	0	2.33178473950463	0.28429504979408	0	0	1.87861146059661	1.27232996036475	0	0	1.39936624327556	0	0	1.17154467227612	0	0	0.240415489689915
4257	"Europe"	"19"	5975	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.499001	0	0	0.1874745	0	34.1395355	0	0	0	26.93793	0	6.1275655	0.547092	0	0	17.5143675	6.3300545	0	0	4.21305	0	0.877595	1.357349	0	0	0.268961	1.486	0	0	0.114	0	34.0305	0	0	0	27.0035	0	5.964	0.532	0	0	17.3805	6.259	0	0	4.1285	0	0.858	1.275	0	0	0.2345	1.905	0	0	0.3821	0	38.5016	0	0	0	32.4523	0	9.57	0.821	0	0	19.9141	8.739	0	0	6.3605	0	1.963	3.2054	0	0	0.6351	1.0999	0	0	0	0	29.9674	0	0	0	21.5619	0	2.6544	0.2839	0	0	15.2201	3.9474	0	0	2.2919	0	0	0	0	0	0	0.314831080587117	0	0	0.821235170918006	0	3.29982544443212	0	0	0	4.19854418110854	0	2.62874915858838	0.217948705789178	0	0	1.90441180226338	1.86980304290034	0	0	1.59416392501208	0	0.889185840364292	1.35249901219483	0	0	0.272736178367475
4257	"Europe"	"20"	6406	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.8684095	0	0	0	0	36.4784375	8.0428685	0	0	19.7229705	0	8.130125	0.19617	0	0	16.4991595	3.8774375	0	0	1.1577535	0.3253715	0	2.629783	0	0.5859985	0.4855415	1.8385	0	0	0	0	36.67	5.753	0	0	19.728	0	7.926	0.178	0	0	16.618	3.796	0	0	1.0945	0.302	0	2.456	0	0.542	0.428	2.4091	0	0	0	0	42.6012	19.2502	0	0	25.4592	0	12.2058	0.3591	0	0	19.5626	5.8576	0	0	2.242	0.7641	0	5.0571	0	1.3621	0.9741	1.3669	0	0	0	0	30.3552	0	0	0	14.3296	0	4.3052	0.059	0	0	13.5241	1.9236	0	0	0	0	0	0	0	0	0	0.421372779518812	0	0	0	0	5.35602949787291	10.5829267543318	0	0	4.38746525471261	0	3.09825989574241	0.123492049311369	0	0	2.63625281175829	1.53004718367961	0	0	0.816900707626582	0.330122266506171	0	1.85204061406036	0	0.605292253257612	0.379141112607674
4257	"Europe"	"21"	6834	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.7831345	0	0	0	6.697905	31.201295	0	0	0	32.0583915	0	0	0.6419595	0	0	19.2164725	2.2905215	0	0	3.1679285	0	0	1.874331	0	0	1.0680595	1.755	0	0	0	6.5475	31.131	0	0	0	32.032	0	0	0.614	0	0	19.0905	2.242	0	0	3.017	0	0	1.729	0	0	0.9695	2.3132	0	0	0	12.9342	36.09	0	0	0	38.7144	0	0	1.0113	0	0	22.2629	4.0841	0	0	5.3087	0	0	4.3554	0	0	1.9575	1.273	0	0	0	0	26.4409	0	0	0	25.4093	0	0	0.3169	0	0	16.227	0.7597	0	0	1.2189	0	0	0	0	0	0.32	0.414949945340783	0	0	0	4.54324988094595	3.73282443641695	0	0	0	5.15197741356294	0	0	0.279077770631737	0	0	2.37400890549834	1.33616780860194	0	0	1.63363038093031	0	0	1.86743268683477	0	0	0.697042913579527
4257	"Europe"	"22"	7264	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.1047925	0	0	0.171793	0	44.720511	0	0	0	15.323802	0	1.471741	1.180292	0	0	13.649962	7.9090165	0	0	2.739088	0	0	9.4047645	0	2.0323015	0.291933	1.0925	0	0	0.1205	0	44.837	0	0	0	15.2355	0	1.4085	1.136	0	0	13.5845	7.785	0	0	2.6	0	0	9.0415	0	1.944	0.259	1.4731	0	0	0.4071	0	50.2951	0	0	0	20.2937	0	3.0705	1.6662	0	0	15.8472	10.7634	0	0	4.6101	0	0	14.4741	0	3.6405	0.7203	0.7539	0	0	0	0	39.2449	0	0	0	10.4013	0	0	0.758	0	0	11.6116	5.087	0	0	0.9849	0	0	4.7122	0	0.6519	0	0.281338020865901	0	0	0.299556636114308	0	4.18186985218446	0	0	0	3.87374954541027	0	1.37134450988853	0.36040130727724	0	0	1.64148415212174	2.2079689215673	0	0	1.4265814142634	0	0	3.89143650970876	0	1.19074114476433	0.317183817837779
4257	"Europe"	"23"	7678	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.878711	0	0	0.3595465	5.543361	41.722682	0	0	0	15.2293605	0	4.136638	1.6937265	0	0	12.072348	13.0307095	0	0	0.676079	0	0	4.656823	0	0	0	0.8555	0	0	0.266	5.4885	41.569	0	0	0	15.144	0	4.0625	1.6535	0	0	11.9795	12.912	0	0	0.6405	0	0	4.372	0	0	0	1.219	0	0	0.6832	10.7573	47.1072	0	0	0	20.259	0	7.3057	2.327	0	0	14.0957	16.6425	0	0	1.5708	0	0	8.3716	0	0	0	0.5659	0	0	0	0	36.5912	0	0	0	10.4548	0	1.376	1.0985	0	0	10.1564	9.4859	0	0	0	0	0	1.479	0	0	0	0.254919040751508	0	0	0.500818596370967	3.69387995192435	4.08550550146212	0	0	0	3.83334658001869	0	2.3621079098646	0.490555212902893	0	0	1.51567320307686	2.79755817776659	0	0	0.684248779286436	0	0	2.72604668979614	0	0	0
4257	"Europe"	"24"	7996	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.8564155	0	0	0	5.8733265	43.2968255	0	0	0	21.1789645	0	1.475421	0.888457	0	0	11.2435225	11.7402605	0	0	1.41272	0.4228615	0	1.611202	0	0	0	0.8425	0	0	0	5.767	43.141	0	0	0	21.2255	0	1.428	0.851	0	0	11.1675	11.701	0	0	1.332	0.381	0	1.515	0	0	0	1.196	0	0	0	11.54	49.0528	0	0	0	26.8847	0	3.2431	1.3004	0	0	13.1451	15.2687	0	0	2.7956	0.9991	0	3.8456	0	0	0	0.5279	0	0	0	0	37.9612	0	0	0	15.6395	0	0	0.5079	0	0	9.452	8.3076	0	0	0	0	0	0	0	0	0	0.261962193751747	0	0	0	3.98255564551615	4.25310051974619	0	0	0	4.31954013892053	0	1.47217884104786	0.321069274285854	0	0	1.45216800420956	2.71652432509708	0	0	1.03783973148754	0.406768233169096	0	1.62222404822124	0	0	0
4257	"Europe"	"25"	8299	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	1.2103125	0	0	0.164001	2.5553615	49.860199	0	0	0	11.663114	0	0	0.964543	0	0	10.402703	14.0645705	0	0	2.983685	0	0	5.509587	0	0.621935	0	1.1925	0	0	0.111	2.4845	49.756	0	0	0	11.5515	0	0	0.9245	0	0	10.3555	14.0445	0	0	2.8345	0	0	5.2325	0	0.584	0	1.58	0	0	0.3613	5.6238	55.1281	0	0	0	15.8438	0	0	1.382	0	0	12.1551	17.6405	0	0	4.8276	0	0	9.2658	0	1.409	0	0.8599	0	0	0	0	44.6718	0	0	0	7.5965	0	0	0.599	0	0	8.7627	10.6162	0	0	1.2778	0	0	2.2366	0	0	0	0.28342646157921	0	0	0.507668574652642	2.48753948574979	4.01440933308323	0	0	0	3.21563672182779	0	0	0.310300009988881	0	0	1.31645238585872	2.67429895888446	0	0	1.39165360332621	0	0	2.79638817188081	0	0.613690985014073	0
4257	"Europe"	"26"	8599	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.463912	0	0	0	0	53.797345	0	0	0	9.373859	0.0557835	0	0.7027355	0	0	9.9911055	14.923695	0	0	2.3649225	0	1.1383895	6.867703	0.320574	0	0	0.45	0	0	0	0	53.7465	0	0	0	9.328	0.053	0	0.6665	0	0	9.96	14.8505	0	0	2.1795	0	1.109	6.5975	0.305	0	0	0.712	0	0	0	0	59.4113	0	0	0	13.5944	0.13	0	1.0731	0	0	11.679	18.8357	0	0	4.2971	0	2.5184	11.2502	0.6292	0	0	0.2289	0	0	0	0	48.0756	0	0	0	5.0967	0	0	0.369	0	0	8.3419	11.0388	0	0	0.7358	0	0	2.6181	0	0	0	0.189478424346009	0	0	0	0	4.40742595635541	0	0	0	3.37013565087099	0.057027973158892	0	0.288867311583711	0	0	1.28576123769148	3.00872925316227	0	0	1.42058857043022	0	1.11067061832073	3.4618547622609	0.230903141282935	0	0
4257	"Europe"	"27"	8901	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0.13737	0.032693	0	0	0	46.5691515	0	0	0	16.118411	0	4.1263735	0.227997	0	0	6.4759485	14.941155	0	0	2.0311065	0	0	9.3397705	0	0	0	0.131	0.031	0	0	0	46.4425	0	0	0	16.074	0	3.991	0.208	0	0	6.4335	14.801	0	0	1.9195	0	0	9.0305	0	0	0	0.271	0.075	0	0	0	52.0583	0	0	0	21.0951	0	7.229	0.414	0	0	7.6916	18.7268	0	0	3.6679	0	0	14.3338	0	0	0	0	0	0	0	0	41.4679	0	0	0	11.1346	0	1.3948	0.069	0	0	5.2934	11.1954	0	0	0.6239	0	0	4.8024	0	0	0	0.0967744633070842	0.0333980608154593	0	0	0	4.12389869708018	0	0	0	3.92153520081672	0	2.29139204431457	0.137592175629275	0	0	0.950693178479552	2.91518883658529	0	0	1.21079391107872	0	0	3.76510891135794	0	0	0
4257	"Europe"	"28"	9199	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0	0	0	0.2051985	0	44.1685865	0	0	1.289575	14.888919	0	0	0.087158	0	0	4.568995	17.3115955	0	0	1.560693	0	0	15.919306	0	0	0	0	0	0	0.1445	0	44.016	0	0	1.234	14.752	0	0	0.081	0	0	4.489	17.28	0	0	1.493	0	0	15.575	0	0	0	0	0	0	0.4622	0	49.9917	0	0	2.4773	20.3843	0	0	0.2121	0	0	5.6096	21.6424	0	0	3.0522	0	0	22.6881	0	0	0	0	0	0	0	0	38.3799	0	0	0	9.6777	0	0	0	0	0	3.605	13.2028	0	0	0	0	0	9.6607	0	0	0	0	0	0	0.34820060730736	0	4.60206324658631	0	0	0.87412566213995	4.11751197057798	0	0	0.0912412215846441	0	0	0.788308298168604	3.30954091444901	0	0	1.12929232412501	0	0	5.1060634106071	0	0	0
4257	"Europe"	"29"	9508	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0	0	0	0	0	49.85061	0	0	0	23.7748515	0	2.1360615	0.1105525	0	0	3.5905075	9.3764875	0	0	0	0	0	11.160918	0	0	0	0	0	0	0	0	49.571	0	0	0	23.797	0	1.997	0.101	0	0	3.5315	9.2555	0	0	0	0	0	10.799	0	0	0	0	0	0	0	0	56.8709	0	0	0	30.5103	0	4.7338	0.262	0	0	4.5363	13.0455	0	0	0	0	0	17.4404	0	0	0	0	0	0	0	0	43.416	0	0	0	17.0318	0	0	0	0	0	2.7359	5.8069	0	0	0	0	0	5.3048	0	0	0	0	0	0	0	0	5.33144376911467	0	0	0	5.29348303423791	0	2.03679032134491	0.116377248961246	0	0	0.709702213297613	2.84273850520026	0	0	0	0	0	4.833970345164	0	0	0
4257	"Europe"	"30"	9835	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0	0	0	0.2607705	0	34.438442	0	0	0	29.1133305	0.0690475	2.048024	0	0	0	3.2566025	11.3895085	0	0	2.9689425	0	2.9334845	13.521836	0	0	0	0	0	0	0.181	0	34.116	0	0	0	29.076	0.066	1.969	0	0	0	3.1855	11.328	0	0	2.7635	0	2.8275	13.279	0	0	0	0	0	0	0.58	0	40.3334	0	0	0	36.2446	0.161	4.5559	0	0	0	4.1811	15.507	0	0	5.2785	0	5.6315	20.1958	0	0	0	0	0	0	0	0	28.9165	0	0	0	21.9133	0	0	0	0	0	2.4197	7.3738	0	0	0.9218	0	0	6.9358	0	0	0	0	0	0	0.676399041736149	0	4.48555031021041	0	0	0	5.54701668857607	0.0704359414977704	2.02398759366594	0	0	0	0.707076712409881	3.17683314014569	0	0	1.75804686359068	0	2.03804496451831	5.3101379483606	0	0	0
4257	"Europe"	"31"	10167	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0	0	0	0.274851	0	23.294799	0	0	0	27.101721	0	12.9194475	0	0	0	0.8619005	14.1810635	0	0	4.1536895	0	7.7398995	9.472624	0	0	0	0	0	0	0.195	0	23.0365	0	0	0	27.1445	0	12.68	0	0	0	0.831	14.055	0	0	3.9125	0	7.547	8.9725	0	0	0	0	0	0	0.631	0	28.1021	0	0	0	34.2888	0	19.2913	0	0	0	1.282	18.9293	0	0	7.0234	0	11.9801	16.0003	0	0	0	0	0	0	0	0	18.8763	0	0	0	19.8201	0	7.0243	0	0	0	0.4849	9.5998	0	0	1.4283	0	3.5283	3.8268	0	0	0	0	0	0	0.415041406950851	0	3.57352573359747	0	0	0	5.71316347268235	0	4.78138290534104	0	0	0	0.314736690253688	3.6741418257255	0	0	2.20152727811124	0	3.31224446336503	4.6934292408263	0	0	0
4257	"Europe"	"32"	10500	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0	0	0	0	0	19.657215	0	0	0	13.4987255	0	42.1051445	0	0	0	0.8042165	12.19021	0	0	1.596372	0	4.694306	5.4538285	0	0	0	0	0	0	0	0	19.5125	0	0	0	13.383	0	42.092	0	0	0	0.781	12.0145	0	0	1.453	0	4.5205	5.0755	0	0	0	0	0	0	0	0	23.4083	0	0	0	18.4801	0	49.4904	0	0	0	1.1661	16.0541	0	0	3.1912	0	7.7129	9.6768	0	0	0	0	0	0	0	0	15.9469	0	0	0	8.4822	0	34.6865	0	0	0	0.4778	8.5838	0	0	0	0	2.0258	1.7534	0	0	0	0	0	0	0	0	2.92964600124679	0	0	0	3.92097098801996	0	5.76219654082602	0	0	0	0.263878308143175	2.96607586752699	0	0	1.18376586469927	0	2.35412706655498	3.15730480566981	0	0	0
4257	"Europe"	"33"	10828	"gpm unstable"	"lake"	168082.5451	462.611438683753	"CF_orig"	"GIS"	138130.172413793	59941413569.6921	80.1496551379049	3.8517125554453	0	0	0	1.2765015	0	16.5929445	0	1.0011585	0	8.017078	0	3.2530905	0	0	0	0.13528	30.0363415	0	0	7.6835385	0	4.519521	27.4845495	0	0	0	0	0	0	0.9575	0	16.276	0	0.9435	0	7.699	0	3.1	0	0	0	0.131	29.742	0	0	7.292	0	4.3925	27.346	0	0	0	0	0	0	2.3305	0	21.212	0	1.9321	0	14.1665	0	7.446	0	0	0	0.3211	38.4118	0	0	12.226	0	8.7896	38.2077	0	0	0	0	0	0	0.272	0	12.4976	0	0	0	2.7125	0	0	0	0	0	0	21.9187	0	0	3.3872	0	0	16.8425	0	0	0	0	0	0	1.8654014531163	0	3.39588998950646	0	0.706338909239115	0	4.53613151225405	0	3.19220381334004	0	0	0	0.140607114970723	6.40142069343399	0	0	3.46591939694951	0	3.13580643001801	8.4704562603309	0	0	0
